"year","school_type","level","region_name","la_name","perm_excl_rate","fixed_excl_rate","one_or_more_fixed_excl_rate","area"
"201112","total","Local authority","Inner London","Lewisham","0.09","3.25","2.19","Lewisham"
"201112","total","Local authority","Inner London","Southwark","0.09","4.77","2.88","Southwark"
"201112","total","Local authority","Inner London","Tower Hamlets","0.02","2.24","1.51","Tower Hamlets"
"201112","total","Local authority","Inner London","Wandsworth","0.13","2.56","1.85","Wandsworth"
"201112","total","Local authority","Inner London","Westminster","0.04","5.08","3.2","Westminster"
"201112","total","Local authority","Outer London","Barking and Dagenham","0.07","1.91","1.16","Barking and Dagenham"
"201112","total","Local authority","Outer London","Barnet","0.07","3.35","2.03","Barnet"
"201112","total","Local authority","Outer London","Bexley","0.06","3.78","2.2","Bexley"
"201112","total","Local authority","Outer London","Brent","0.06","4.17","2.65","Brent"
"201112","total","Local authority","Outer London","Bromley","0.14","2.63","1.56","Bromley"
"201112","total","Local authority","Outer London","Croydon","0.12","4.21","2.53","Croydon"
"201112","total","Local authority","Outer London","Ealing","0.08","2.57","1.72","Ealing"
"201112","total","Local authority","Outer London","Enfield","0.1","4.1","2.53","Enfield"
"201112","total","Local authority","Inner London","Haringey","0.07","3.74","2.28","Haringey"
"201112","total","Local authority","Outer London","Harrow","0.09","3.21","2.12","Harrow"
"201112","total","Local authority","Outer London","Havering","0.09","2.89","1.85","Havering"
"201112","total","Local authority","Outer London","Hillingdon","0.07","4.26","2.37","Hillingdon"
"201112","total","Local authority","Outer London","Hounslow","0.1","3.11","2","Hounslow"
"201112","total","Local authority","Outer London","Kingston upon Thames","0.04","2.31","1.36","Kingston upon Thames"
"201112","total","Local authority","Outer London","Merton","0.04","3.96","2.55","Merton"
"201112","total","Local authority","Inner London","Newham","0.04","2.76","1.72","Newham"
"201112","total","Local authority","Outer London","Redbridge","0.06","3.24","1.9","Redbridge"
"201112","total","Local authority","Outer London","Richmond upon Thames","0.05","2.71","1.52","Richmond upon Thames"
"201112","total","Local authority","Outer London","Sutton","0.07","4.06","2.24","Sutton"
"201112","total","Local authority","Outer London","Waltham Forest","0.02","3.49","2.23","Waltham Forest"
"201112","total","Local authority","West Midlands","Birmingham","0.12","4.96","3.03","Birmingham"
"201112","total","Local authority","West Midlands","Coventry","0.05","3.67","2.08","Coventry"
"201112","total","Local authority","West Midlands","Dudley","0.12","5","2.62","Dudley"
"201112","total","Local authority","West Midlands","Sandwell","0.11","4.03","2.52","Sandwell"
"201112","total","Local authority","West Midlands","Solihull","0.12","5.16","2.67","Solihull"
"201112","total","Local authority","West Midlands","Walsall","0.06","3.28","2.01","Walsall"
"201112","total","Local authority","West Midlands","Wolverhampton","0","2.15","1.43","Wolverhampton"
"201112","total","Local authority","North West","Knowsley","0.02","6.19","3.24","Knowsley"
"201112","total","Local authority","North West","Liverpool","0.09","2.4","1.67","Liverpool"
"201112","total","Local authority","North West","St. Helens","x","2.1","1.27","St. Helens"
"201112","total","Local authority","North West","Sefton","0.04","2.75","1.61","Sefton"
"201112","total","Local authority","North West","Wirral","0.06","3.69","2.02","Wirral"
"201112","total","Local authority","North West","Bolton","0.07","3.77","1.85","Bolton"
"201112","total","Local authority","North West","Bury","0.18","4.1","2.17","Bury"
"201112","total","Local authority","North West","Manchester","0.04","5.55","3.18","Manchester"
"201112","total","Local authority","North West","Oldham","0.09","3.64","2.24","Oldham"
"201112","total","Local authority","North West","Rochdale","0.12","4.97","2.81","Rochdale"
"201112","total","Local authority","North West","Salford","0.09","2.3","1.46","Salford"
"201112","total","Local authority","North West","Stockport","0.1","4.92","2.39","Stockport"
"201112","total","Local authority","North West","Tameside","0.15","5.74","2.93","Tameside"
"201112","total","Local authority","North West","Trafford","0.08","3.31","1.8","Trafford"
"201112","total","Local authority","North West","Wigan","0","3.83","2.09","Wigan"
"201112","total","Local authority","Yorkshire and the Humber","Barnsley","x","2.9","1.74","Barnsley"
"201112","total","Local authority","Yorkshire and the Humber","Doncaster","0.05","6.93","2.79","Doncaster"
"201112","total","Local authority","Yorkshire and the Humber","Rotherham","0.04","4.48","2.34","Rotherham"
"201112","total","Local authority","Yorkshire and the Humber","Sheffield","0.03","4.57","2.62","Sheffield"
"201112","total","Local authority","Yorkshire and the Humber","Bradford","0.02","2.85","1.73","Bradford"
"201112","total","Local authority","Yorkshire and the Humber","Calderdale","0.11","4.22","2.39","Calderdale"
"201112","total","Local authority","Yorkshire and the Humber","Kirklees","0","3.56","1.82","Kirklees"
"201112","total","Local authority","Yorkshire and the Humber","Leeds","0.02","4.61","2.17","Leeds"
"201112","total","Local authority","Yorkshire and the Humber","Wakefield","0.09","7.65","2.96","Wakefield"
"201112","total","Local authority","North East","Gateshead","0.08","3.42","2.11","Gateshead"
"201112","total","Local authority","North East","Newcastle upon Tyne","0.01","2.75","1.74","Newcastle upon Tyne"
"201112","total","Local authority","North East","North Tyneside","0","2.26","1.48","North Tyneside"
"201112","total","Local authority","North East","South Tyneside","0.06","1.23","0.81","South Tyneside"
"201112","total","Local authority","North East","Sunderland","0.1","4.03","2","Sunderland"
"201112","total","Local authority","South West","Isles Of Scilly","0","x","x","Isles Of Scilly"
"201112","total","Local authority","South West","Bath and North East Somerset","0.06","5.11","2.16","Bath and North East Somerset"
"201112","total","Local authority","South West","Bristol City of","0.06","4.35","2.48","Bristol City of"
"201112","total","Local authority","South West","North Somerset","0.07","2.57","1.56","North Somerset"
"201112","total","Local authority","South West","South Gloucestershire","0.05","5.4","2.59","South Gloucestershire"
"201112","total","Local authority","North East","Hartlepool","0.04","1.74","1.01","Hartlepool"
"201112","total","Local authority","North East","Middlesbrough","0.06","4.19","2.32","Middlesbrough"
"201112","total","Local authority","North East","Redcar and Cleveland","x","4.04","2.4","Redcar and Cleveland"
"201112","total","Local authority","North East","Stockton-on-Tees","0.05","4.49","2.27","Stockton-on-Tees"
"201112","total","Local authority","Yorkshire and the Humber","Kingston upon Hull City of","0.12","3.13","1.89","Kingston upon Hull City of"
"201112","total","Local authority","Yorkshire and the Humber","East Riding of Yorkshire","0.05","4.6","2.12","East Riding of Yorkshire"
"201112","total","Local authority","Yorkshire and the Humber","North East Lincolnshire","0.25","5.56","2.56","North East Lincolnshire"
"201112","total","Local authority","Yorkshire and the Humber","North Lincolnshire","0","3.55","1.93","North Lincolnshire"
"201112","total","Local authority","Yorkshire and the Humber","North Yorkshire","0.05","4.4","1.87","North Yorkshire"
"201112","total","Local authority","Yorkshire and the Humber","York","0.02","2.8","1.64","York"
"201112","total","Local authority","East of England","Luton","0.03","3.11","2.02","Luton"
"201112","total","Local authority","East of England","Bedford","0.15","3.27","1.88","Bedford"
"201112","total","Local authority","East of England","Central Bedfordshire","0.17","4","2.13","Central Bedfordshire"
"201112","total","Local authority","South East","Buckinghamshire","0.06","3.04","1.55","Buckinghamshire"
"201112","total","Local authority","South East","Milton Keynes","0.03","4.37","2.4","Milton Keynes"
"201112","total","Local authority","East Midlands","Derbyshire","0.1","4.53","2.25","Derbyshire"
"201112","total","Local authority","East Midlands","Derby","0.16","4.06","2.16","Derby"
"201112","total","Local authority","South West","Dorset","0.01","3.6","1.95","Dorset"
"201112","total","Local authority","South West","Poole","0.07","4.11","1.97","Poole"
"201112","total","Local authority","South West","Bournemouth","0.08","5.2","2.24","Bournemouth"
"201112","total","Local authority","North East","Durham","0.14","4.38","2.19","Durham"
"201112","total","Local authority","North East","Darlington","0.03","4.51","2.24","Darlington"
"201112","total","Local authority","South East","East Sussex","0.12","5.2","2.41","East Sussex"
"201112","total","Local authority","South East","Brighton and Hove","0.02","6.62","2.64","Brighton and Hove"
"201112","total","Local authority","South East","Hampshire","0.04","4.4","2.19","Hampshire"
"201112","total","Local authority","South East","Portsmouth","0.1","7.01","3.24","Portsmouth"
"201112","total","Local authority","South East","Southampton","0.04","7.67","3.62","Southampton"
"201112","total","Local authority","East Midlands","Leicestershire","0.03","3.82","1.94","Leicestershire"
"201112","total","Local authority","East Midlands","Leicester","0.02","3.95","2.19","Leicester"
"201112","total","Local authority","East Midlands","Rutland","0.12","3.4","2.26","Rutland"
"201112","total","Local authority","West Midlands","Staffordshire","0.06","2.89","1.74","Staffordshire"
"201112","total","Local authority","West Midlands","Stoke-on-Trent","0.09","5.37","2.49","Stoke-on-Trent"
"201112","total","Local authority","South West","Wiltshire","0.04","3.6","1.92","Wiltshire"
"201112","total","Local authority","South West","Swindon","0.05","4.77","2.48","Swindon"
"201112","total","Local authority","South East","Bracknell Forest","0.16","3.39","1.78","Bracknell Forest"
"201112","total","Local authority","South East","Windsor and Maidenhead","0.07","2.96","1.79","Windsor and Maidenhead"
"201112","total","Local authority","South East","West Berkshire","0.07","3.44","1.86","West Berkshire"
"201112","total","Local authority","South East","Reading","0.2","3.65","1.81","Reading"
"201112","total","Local authority","South East","Slough","0.04","2.91","1.81","Slough"
"201112","total","Local authority","South East","Wokingham","0.05","2.88","1.48","Wokingham"
"201112","total","Local authority","East of England","Cambridgeshire","0.01","2.56","1.54","Cambridgeshire"
"201112","total","Local authority","East of England","Peterborough","0.12","4","2.29","Peterborough"
"201112","total","Local authority","North West","Halton","0.07","4.4","2.47","Halton"
"201112","total","Local authority","North West","Warrington","0.04","3.71","1.84","Warrington"
"201112","total","Local authority","South West","Devon","0.07","3.9","1.95","Devon"
"201112","total","Local authority","South West","Plymouth","0.03","2.81","1.68","Plymouth"
"201112","total","Local authority","South West","Torbay","0.02","2.74","1.6","Torbay"
"201112","total","Local authority","East of England","Essex","0.04","5.82","2.47","Essex"
"201112","total","Local authority","East of England","Southend-on-Sea","0.03","3.98","2.08","Southend-on-Sea"
"201112","total","Local authority","East of England","Thurrock","0.11","3.98","1.77","Thurrock"
"201112","total","Local authority","West Midlands","Herefordshire","0.06","3.13","1.84","Herefordshire"
"201112","total","Local authority","West Midlands","Worcestershire","0.07","3.5","1.96","Worcestershire"
"201112","total","Local authority","South East","Kent","0.09","5.69","2.92","Kent"
"201112","total","Local authority","South East","Medway","0.05","5.54","2.59","Medway"
"201112","total","Local authority","North West","Lancashire","0.09","3.32","1.83","Lancashire"
"201112","total","Local authority","North West","Blackburn with Darwen","0.08","1.83","1.14","Blackburn with Darwen"
"201112","total","Local authority","North West","Blackpool","x","5.3","2.86","Blackpool"
"201112","total","Local authority","East Midlands","Nottinghamshire","0.09","4.58","2.39","Nottinghamshire"
"201112","total","Local authority","East Midlands","Nottingham","0.09","5.71","3.22","Nottingham"
"201112","total","Local authority","West Midlands","Shropshire","0.08","4.01","2.18","Shropshire"
"201112","total","Local authority","West Midlands","Telford and Wrekin","0.05","6.02","2.65","Telford and Wrekin"
"201112","total","Local authority","North West","Cheshire East","0.07","4.72","2.12","Cheshire East"
"201112","total","Local authority","North West","Cheshire West and Chester","0.05","3.86","1.99","Cheshire West and Chester"
"201112","total","Local authority","South West","Cornwall","0.06","2.32","1.42","Cornwall"
"201112","total","Local authority","North West","Cumbria","0.02","4.62","2.28","Cumbria"
"201112","total","Local authority","South West","Gloucestershire","0.1","3.81","2.05","Gloucestershire"
"201112","total","Local authority","East of England","Hertfordshire","0.03","3.68","2.07","Hertfordshire"
"201112","total","Local authority","South East","Isle of Wight","0.14","8.65","3.33","Isle of Wight"
"201112","total","Local authority","East Midlands","Lincolnshire","0.12","3.03","1.87","Lincolnshire"
"201112","total","Local authority","East of England","Norfolk","0.15","3.85","2.01","Norfolk"
"201112","total","Local authority","East Midlands","Northamptonshire","0.08","3.73","1.99","Northamptonshire"
"201112","total","Local authority","North East","Northumberland","0.07","3.58","1.94","Northumberland"
"201112","total","Local authority","South East","Oxfordshire","0.04","4.12","2.1","Oxfordshire"
"201112","total","Local authority","South West","Somerset","0.05","4.21","2.22","Somerset"
"201112","total","Local authority","East of England","Suffolk","0.08","3.54","1.68","Suffolk"
"201112","total","Local authority","South East","Surrey","0.03","3.59","1.68","Surrey"
"201112","total","Local authority","West Midlands","Warwickshire","0.04","4.64","2.19","Warwickshire"
"201112","total","Local authority","South East","West Sussex","0.08","3.61","1.9","West Sussex"
"201011","total","National",NA,NA,"0.07","4.33","2.33","England"
"201011","total","Region","North East",NA,"0.06","3.58","1.99","North East"
"201011","total","Region","North West",NA,"0.07","4.35","2.29","North West"
"201011","total","Region","Yorkshire and the Humber",NA,"0.04","4.61","2.26","Yorkshire and the Humber"
"201011","total","Region","East Midlands",NA,"0.1","4.32","2.34","East Midlands"
"201011","total","Region","West Midlands",NA,"0.09","4.38","2.51","West Midlands"
"201011","total","Region","East of England",NA,"0.06","4.18","2.22","East of England"
"201011","total","Region","South East",NA,"0.06","4.84","2.4","South East"
"201011","total","Region","South West",NA,"0.06","4.16","2.2","South West"
"201011","total","Region","Inner London",NA,"0.09","4.4","2.7","Inner London"
"201011","total","Region","Outer London",NA,"0.07","3.81","2.32","Outer London"
"201011","total","Local authority","Inner London","City of London","0","0","0","City of London"
"201011","total","Local authority","Inner London","Camden","0.06","5.75","3.27","Camden"
"201011","total","Local authority","Outer London","Greenwich","0.04","7.43","4.09","Greenwich"
"201011","total","Local authority","Inner London","Hackney","0.14","7.43","3.83","Hackney"
"201011","total","Local authority","Inner London","Hammersmith and Fulham","0.1","3.39","2.36","Hammersmith and Fulham"
"201011","total","Local authority","Inner London","Islington","0.04","4.26","2.69","Islington"
"201011","total","Local authority","Inner London","Kensington and Chelsea","0.13","3.2","2.13","Kensington and Chelsea"
"201011","total","Local authority","Inner London","Lambeth","0.11","4.56","2.78","Lambeth"
"201011","total","Local authority","Inner London","Lewisham","0.16","3.71","2.47","Lewisham"
"201011","total","Local authority","Inner London","Southwark","0.1","5.61","3.43","Southwark"
"201011","total","Local authority","Inner London","Tower Hamlets","0.04","2.73","1.84","Tower Hamlets"
"201011","total","Local authority","Inner London","Wandsworth","0.16","2.98","1.98","Wandsworth"
"201011","total","Local authority","Inner London","Westminster","0.05","5","3.49","Westminster"
"201011","total","Local authority","Outer London","Barking and Dagenham","0.08","2.01","1.28","Barking and Dagenham"
"201011","total","Local authority","Outer London","Barnet","0.1","3.69","2.33","Barnet"
"201011","total","Local authority","Outer London","Bexley","0.08","3.13","2","Bexley"
"201011","total","Local authority","Outer London","Brent","0.08","4.35","2.78","Brent"
"201011","total","Local authority","Outer London","Bromley","0.07","2","1.23","Bromley"
"201011","total","Local authority","Outer London","Croydon","0.11","4.07","2.39","Croydon"
"201011","total","Local authority","Outer London","Ealing","0.06","3.19","2.06","Ealing"
"201011","total","Local authority","Outer London","Enfield","0.06","4.27","2.69","Enfield"
"201011","total","Local authority","Inner London","Haringey","0.07","4.53","2.64","Haringey"
"201011","total","Local authority","Outer London","Harrow","0.05","3.38","2.38","Harrow"
"201011","total","Local authority","Outer London","Havering","0.06","3.04","2.06","Havering"
"201011","total","Local authority","Outer London","Hillingdon","0.06","4.9","2.61","Hillingdon"
"201011","total","Local authority","Outer London","Hounslow","0.12","4.39","2.72","Hounslow"
"201011","total","Local authority","Outer London","Kingston upon Thames","0.04","2.39","1.38","Kingston upon Thames"
"201011","total","Local authority","Outer London","Merton","0.08","4.97","2.91","Merton"
"201011","total","Local authority","Inner London","Newham","0.05","4.16","2.52","Newham"
"201011","total","Local authority","Outer London","Redbridge","0.07","3.5","2.09","Redbridge"
"201011","total","Local authority","Outer London","Richmond upon Thames","0.03","2.85","1.81","Richmond upon Thames"
"201011","total","Local authority","Outer London","Sutton","0.07","4.11","2.39","Sutton"
"201011","total","Local authority","Outer London","Waltham Forest","0.01","4.14","2.64","Waltham Forest"
"201011","total","Local authority","West Midlands","Birmingham","0.13","5.4","3.26","Birmingham"
"201011","total","Local authority","West Midlands","Coventry","0.03","3.12","1.94","Coventry"
"201011","total","Local authority","West Midlands","Dudley","0.12","5.6","2.87","Dudley"
"201011","total","Local authority","West Midlands","Sandwell","0.1","4.44","2.72","Sandwell"
"201011","total","Local authority","West Midlands","Solihull","0.11","5.78","3.17","Solihull"
"201011","total","Local authority","West Midlands","Walsall","0.04","4.07","2.48","Walsall"
"201011","total","Local authority","West Midlands","Wolverhampton","x","2.24","1.55","Wolverhampton"
"201011","total","Local authority","North West","Knowsley","0.03","6.75","3.21","Knowsley"
"201011","total","Local authority","North West","Liverpool","0.14","3.32","2.13","Liverpool"
"201011","total","Local authority","North West","St. Helens","0","2.16","1.15","St. Helens"
"201011","total","Local authority","North West","Sefton","0.05","2.42","1.46","Sefton"
"201011","total","Local authority","North West","Wirral","0.04","3.6","2","Wirral"
"201011","total","Local authority","North West","Bolton","0.04","4.74","2.38","Bolton"
"201011","total","Local authority","North West","Bury","0.19","4.22","2.39","Bury"
"201011","total","Local authority","North West","Manchester","0.07","8.78","4.05","Manchester"
"201011","total","Local authority","North West","Oldham","0.08","3.91","2.27","Oldham"
"201011","total","Local authority","North West","Rochdale","0.1","5.46","3.1","Rochdale"
"201011","total","Local authority","North West","Salford","0.07","2.35","1.53","Salford"
"201011","total","Local authority","North West","Stockport","0.12","4.7","2.52","Stockport"
"201011","total","Local authority","North West","Tameside","0.1","5.55","2.92","Tameside"
"201011","total","Local authority","North West","Trafford","0.06","3.89","1.98","Trafford"
"201011","total","Local authority","North West","Wigan","0.01","4.15","2.23","Wigan"
"201011","total","Local authority","Yorkshire and the Humber","Barnsley","0","1.94","1.18","Barnsley"
"201011","total","Local authority","Yorkshire and the Humber","Doncaster","0.05","6.98","2.82","Doncaster"
"201011","total","Local authority","Yorkshire and the Humber","Rotherham","0.04","5.66","2.75","Rotherham"
"201011","total","Local authority","Yorkshire and the Humber","Sheffield","0.01","4.78","2.77","Sheffield"
"201011","total","Local authority","Yorkshire and the Humber","Bradford","0.01","3.21","2.07","Bradford"
"201011","total","Local authority","Yorkshire and the Humber","Calderdale","0.07","5.06","2.43","Calderdale"
"201011","total","Local authority","Yorkshire and the Humber","Kirklees","x","3.5","1.86","Kirklees"
"201011","total","Local authority","Yorkshire and the Humber","Leeds","0.04","4.79","2.22","Leeds"
"201011","total","Local authority","Yorkshire and the Humber","Wakefield","0.08","6.78","2.72","Wakefield"
"201011","total","Local authority","North East","Gateshead","0.08","2.29","1.59","Gateshead"
"201011","total","Local authority","North East","Newcastle upon Tyne","0.01","2.96","1.84","Newcastle upon Tyne"
"201011","total","Local authority","North East","North Tyneside","0","2.53","1.62","North Tyneside"
"201011","total","Local authority","North East","South Tyneside","0.03","2.34","1.26","South Tyneside"
"201011","total","Local authority","North East","Sunderland","0.05","3.44","1.94","Sunderland"
"201011","total","Local authority","South West","Isles Of Scilly","0","0","0","Isles Of Scilly"
"201011","total","Local authority","South West","Bath and North East Somerset","0.04","4.52","2.11","Bath and North East Somerset"
"201011","total","Local authority","South West","Bristol City of","0.08","6.07","3.24","Bristol City of"
"201011","total","Local authority","South West","North Somerset","0.06","2.56","1.48","North Somerset"
"201011","total","Local authority","South West","South Gloucestershire","0.04","4.31","2.26","South Gloucestershire"
"201011","total","Local authority","North East","Hartlepool","x","1.07","0.77","Hartlepool"
"201011","total","Local authority","North East","Middlesbrough","0.07","5.01","2.81","Middlesbrough"
"201011","total","Local authority","North East","Redcar and Cleveland","0.07","4.81","2.58","Redcar and Cleveland"
"201011","total","Local authority","North East","Stockton-on-Tees","0.01","3.35","1.94","Stockton-on-Tees"
"201011","total","Local authority","Yorkshire and the Humber","Kingston upon Hull City of","0.05","3.59","2.04","Kingston upon Hull City of"
"201011","total","Local authority","Yorkshire and the Humber","East Riding of Yorkshire","0.04","5.27","2.28","East Riding of Yorkshire"
"201011","total","Local authority","Yorkshire and the Humber","North East Lincolnshire","0.21","5.59","2.85","North East Lincolnshire"
"201011","total","Local authority","Yorkshire and the Humber","North Lincolnshire","0.02","4.47","2.1","North Lincolnshire"
"201011","total","Local authority","Yorkshire and the Humber","North Yorkshire","0.05","4.56","1.97","North Yorkshire"
"201011","total","Local authority","Yorkshire and the Humber","York","0.01","2.9","1.72","York"
"201011","total","Local authority","East of England","Luton","0.05","2.76","1.85","Luton"
"201011","total","Local authority","East of England","Bedford","0.13","2.89","1.74","Bedford"
"201011","total","Local authority","East of England","Central Bedfordshire","0.19","4.58","2.24","Central Bedfordshire"
"201011","total","Local authority","South East","Buckinghamshire","0.06","3.43","1.85","Buckinghamshire"
"201011","total","Local authority","South East","Milton Keynes","0.01","5","2.71","Milton Keynes"
"201011","total","Local authority","East Midlands","Derbyshire","0.14","4","2.14","Derbyshire"
"201011","total","Local authority","East Midlands","Derby","0.13","4.66","2.66","Derby"
"201011","total","Local authority","South West","Dorset","0.01","3.59","2.14","Dorset"
"201011","total","Local authority","South West","Poole","0.06","5.03","2.11","Poole"
"201011","total","Local authority","South West","Bournemouth","0.15","7.66","3.18","Bournemouth"
"201011","total","Local authority","North East","Durham","0.14","4.54","2.29","Durham"
"201011","total","Local authority","North East","Darlington","0.09","4.35","2.32","Darlington"
"201011","total","Local authority","South East","East Sussex","0.13","5.35","2.47","East Sussex"
"201011","total","Local authority","South East","Brighton and Hove","0.03","7.06","2.84","Brighton and Hove"
"201011","total","Local authority","South East","Hampshire","0.04","5.04","2.51","Hampshire"
"201011","total","Local authority","South East","Portsmouth","0.04","5.76","2.79","Portsmouth"
"201011","total","Local authority","South East","Southampton","0.14","7.43","3.54","Southampton"
"201011","total","Local authority","East Midlands","Leicestershire","0.04","4.12","2.12","Leicestershire"
"201011","total","Local authority","East Midlands","Leicester","0.01","4.09","2.34","Leicester"
"201011","total","Local authority","East Midlands","Rutland","x","2.8","1.8","Rutland"
"201011","total","Local authority","West Midlands","Staffordshire","0.07","2.91","1.8","Staffordshire"
"201011","total","Local authority","West Midlands","Stoke-on-Trent","0.08","4.26","2.25","Stoke-on-Trent"
"201011","total","Local authority","South West","Wiltshire","0.08","4.66","2.38","Wiltshire"
"201011","total","Local authority","South West","Swindon","0.05","3.52","2.15","Swindon"
"201011","total","Local authority","South East","Bracknell Forest","0.14","3.06","1.6","Bracknell Forest"
"201011","total","Local authority","South East","Windsor and Maidenhead","0.09","3.19","1.91","Windsor and Maidenhead"
"201011","total","Local authority","South East","West Berkshire","0.08","3.86","1.93","West Berkshire"
"201011","total","Local authority","South East","Reading","0.08","3.69","1.94","Reading"
"201011","total","Local authority","South East","Slough","x","2.31","1.56","Slough"
"201011","total","Local authority","South East","Wokingham","0.05","2.3","1.38","Wokingham"
"201011","total","Local authority","East of England","Cambridgeshire","0.01","2.82","1.71","Cambridgeshire"
"201011","total","Local authority","East of England","Peterborough","0.19","4.24","2.66","Peterborough"
"201011","total","Local authority","North West","Halton","0.07","4.12","2.16","Halton"
"201011","total","Local authority","North West","Warrington","0.05","3.42","1.87","Warrington"
"201011","total","Local authority","South West","Devon","0.05","4.1","2.16","Devon"
"201011","total","Local authority","South West","Plymouth","0.05","2.82","1.79","Plymouth"
"201011","total","Local authority","South West","Torbay","0.03","4.06","2.05","Torbay"
"201011","total","Local authority","East of England","Essex","0.03","5.05","2.58","Essex"
"201011","total","Local authority","East of England","Southend-on-Sea","0.01","5.34","2.47","Southend-on-Sea"
"201011","total","Local authority","East of England","Thurrock","0.07","3.74","1.89","Thurrock"
"201011","total","Local authority","West Midlands","Herefordshire","0.06","3.57","2.06","Herefordshire"
"201011","total","Local authority","West Midlands","Worcestershire","0.1","4.24","2.25","Worcestershire"
"201011","total","Local authority","South East","Kent","0.08","6.44","3.22","Kent"
"201011","total","Local authority","South East","Medway","0.05","6.76","2.93","Medway"
"201011","total","Local authority","North West","Lancashire","0.11","3.49","1.97","Lancashire"
"201011","total","Local authority","North West","Blackburn with Darwen","0.04","2.06","1.39","Blackburn with Darwen"
"201011","total","Local authority","North West","Blackpool","0","4.96","2.71","Blackpool"
"201011","total","Local authority","East Midlands","Nottinghamshire","0.1","4.25","2.33","Nottinghamshire"
"201011","total","Local authority","East Midlands","Nottingham","0.08","6.21","3.45","Nottingham"
"201011","total","Local authority","West Midlands","Shropshire","0.05","4.12","2.25","Shropshire"
"201011","total","Local authority","West Midlands","Telford and Wrekin","0.1","6.57","3.34","Telford and Wrekin"
"201011","total","Local authority","North West","Cheshire East","0.04","4.28","1.93","Cheshire East"
"201011","total","Local authority","North West","Cheshire West and Chester","0.06","4.59","2.37","Cheshire West and Chester"
"201011","total","Local authority","South West","Cornwall","0.03","2.51","1.52","Cornwall"
"201011","total","Local authority","North West","Cumbria","0.02","5.74","2.57","Cumbria"
"201011","total","Local authority","South West","Gloucestershire","0.08","4.12","2.15","Gloucestershire"
"201011","total","Local authority","East of England","Hertfordshire","0.02","4.15","2.31","Hertfordshire"
"201011","total","Local authority","South East","Isle of Wight","x","1.51","1.04","Isle of Wight"
"201011","total","Local authority","East Midlands","Lincolnshire","0.1","3.4","2.07","Lincolnshire"
"201011","total","Local authority","East of England","Norfolk","0.12","4.5","2.31","Norfolk"
"201011","total","Local authority","East Midlands","Northamptonshire","0.11","5.14","2.49","Northamptonshire"
"201011","total","Local authority","North East","Northumberland","0.06","4.12","2.18","Northumberland"
"201011","total","Local authority","South East","Oxfordshire","0.03","4.51","2.19","Oxfordshire"
"201011","total","Local authority","South West","Somerset","0.06","4.77","2.45","Somerset"
"201011","total","Local authority","East of England","Suffolk","0.06","3.61","1.78","Suffolk"
"201011","total","Local authority","South East","Surrey","0.03","3.82","1.82","Surrey"
"201011","total","Local authority","West Midlands","Warwickshire","0.1","4.74","2.42","Warwickshire"
"201011","total","Local authority","South East","West Sussex","0.09","3.99","2.05","West Sussex"
"200910","total","National",NA,NA,"0.08","4.44","2.41","England"
"200910","total","Region","North East",NA,"0.08","3.76","2.09","North East"
"200910","total","Region","North West",NA,"0.09","4.24","2.28","North West"
"200910","total","Region","Yorkshire and the Humber",NA,"0.04","5.07","2.49","Yorkshire and the Humber"
"200910","total","Region","East Midlands",NA,"0.1","4.37","2.36","East Midlands"
"200910","total","Region","West Midlands",NA,"0.09","4.74","2.71","West Midlands"
"200910","total","Region","East of England",NA,"0.06","4.3","2.32","East of England"
"200910","total","Region","South East",NA,"0.07","4.86","2.49","South East"
"200910","total","Region","South West",NA,"0.06","4.19","2.2","South West"
"200910","total","Region","Inner London",NA,"0.11","4.49","2.8","Inner London"
"200910","total","Region","Outer London",NA,"0.09","3.8","2.32","Outer London"
"200910","total","Local authority","Inner London","City of London","0","0","0","City of London"
"200910","total","Local authority","Inner London","Camden","0.07","4.92","3","Camden"
"200910","total","Local authority","Outer London","Greenwich","0.04","7.6","3.96","Greenwich"
"200910","total","Local authority","Inner London","Hackney","0.1","6.73","3.71","Hackney"
"200910","total","Local authority","Inner London","Hammersmith and Fulham","0.13","3.12","2.3","Hammersmith and Fulham"
"200910","total","Local authority","Inner London","Islington","0.08","5.36","3.23","Islington"
"200910","total","Local authority","Inner London","Kensington and Chelsea","0.09","3.35","2.25","Kensington and Chelsea"
"200910","total","Local authority","Inner London","Lambeth","0.21","6.03","3.56","Lambeth"
"200910","total","Local authority","Inner London","Lewisham","0.11","3.5","2.37","Lewisham"
"200910","total","Local authority","Inner London","Southwark","0.13","5.58","3.57","Southwark"
"200910","total","Local authority","Inner London","Tower Hamlets","0.05","2.76","1.88","Tower Hamlets"
"200910","total","Local authority","Inner London","Wandsworth","0.18","3.5","2.26","Wandsworth"
"200910","total","Local authority","Inner London","Westminster","0.09","4.26","2.95","Westminster"
"200910","total","Local authority","Outer London","Barking and Dagenham","0.12","2.66","1.56","Barking and Dagenham"
"200910","total","Local authority","Outer London","Barnet","0.11","3.52","2.18","Barnet"
"200910","total","Local authority","Outer London","Bexley","0.1","3.63","2.23","Bexley"
"200910","total","Local authority","Outer London","Brent","0.11","4.11","2.69","Brent"
"200910","total","Local authority","Outer London","Bromley","0.09","2.35","1.45","Bromley"
"200910","total","Local authority","Outer London","Croydon","0.14","3.64","2.21","Croydon"
"200910","total","Local authority","Outer London","Ealing","0.06","3.02","2.07","Ealing"
