"year","school_type","level","region_name","la_name","perm_excl_rate","fixed_excl_rate","one_or_more_fixed_excl_rate","area"
"201516","total","Local authority","South East","Oxfordshire","0.05","3.58","1.73","Oxfordshire"
"201516","total","Local authority","South West","Somerset","0.09","5.41","2.57","Somerset"
"201516","total","Local authority","East of England","Suffolk","0.07","4.26","1.91","Suffolk"
"201516","total","Local authority","South East","Surrey","0.04","3.06","1.56","Surrey"
"201516","total","Local authority","West Midlands","Warwickshire","0.07","3.45","1.89","Warwickshire"
"201516","total","Local authority","South East","West Sussex","0.08","3.1","1.69","West Sussex"
"201415","total","National",NA,NA,"0.07","3.88","1.98","England"
"201415","total","Region","North East",NA,"0.08","3.79","1.85","North East"
"201415","total","Region","North West",NA,"0.09","3.9","1.97","North West"
"201415","total","Region","Yorkshire and the Humber",NA,"0.06","5.28","2.18","Yorkshire and the Humber"
"201415","total","Region","East Midlands",NA,"0.08","4.08","1.97","East Midlands"
"201415","total","Region","West Midlands",NA,"0.11","3.96","2.18","West Midlands"
"201415","total","Region","East of England",NA,"0.05","3.43","1.76","East of England"
"201415","total","Region","South East",NA,"0.05","3.8","1.88","South East"
"201415","total","Region","South West",NA,"0.08","3.81","1.92","South West"
"201415","total","Region","Inner London",NA,"0.08","3.52","2.19","Inner London"
"201415","total","Region","Outer London",NA,"0.07","3.15","1.91","Outer London"
"201415","total","Local authority","Inner London","City of London","x","0","0","City of London"
"201415","total","Local authority","Inner London","Camden","0.1","4.97","2.95","Camden"
"201415","total","Local authority","Outer London","Greenwich","0.05","4.7","2.65","Greenwich"
"201415","total","Local authority","Inner London","Hackney","0.09","5.19","3.23","Hackney"
"201415","total","Local authority","Inner London","Hammersmith and Fulham","0.1","3.65","2.36","Hammersmith and Fulham"
"201415","total","Local authority","Inner London","Islington","0.08","4.01","2.42","Islington"
"201415","total","Local authority","Inner London","Kensington and Chelsea","0.07","3.27","2.34","Kensington and Chelsea"
"201415","total","Local authority","Inner London","Lambeth","0.08","2.79","1.83","Lambeth"
