"year","level","la_name","school_type","num_schools","headcount","perm_excl","perm_excl_rate","fixed_excl","fixed_excl_rate","one_plus_fixed","one_or_more_fixed_excl_rate"
"201617","Local authority","Havering","Primary","61","22471","x","x","169","0.75","90","0.4"
"201617","Local authority","Havering","Secondary","18","15986","42","0.26","1261","7.89","788","4.93"
"201617","Local authority","Havering","Special","3","291","0","0","x","x","x","x"
"201617","Local authority","Hillingdon","Total","100","51793","55","0.11","1744","3.37","962","1.86"
"201617","Local authority","Hillingdon","Primary","69","30776","5","0.02","177","0.58","106","0.34"
"201617","Local authority","Hillingdon","Secondary","22","20124","49","0.24","1559","7.75","848","4.21"
"201617","Local authority","Hillingdon","Special","9","893","x","x","8","0.9","8","0.9"
"201617","Local authority","Hounslow","Total","78","42672","42","0.1","1672","3.92","880","2.06"
"201617","Local authority","Hounslow","Primary","55","25047","5","0.02","123","0.49","64","0.26"
"201617","Local authority","Hounslow","Secondary","18","17087","36","0.21","1506","8.81","804","4.71"
"201617","Local authority","Hounslow","Special","5","538","x","x","43","7.99","12","2.23"
"201617","Local authority","Kingston upon Thames","Total","50","24900","15","0.06","380","1.53","260","1.04"
"201617","Local authority","Kingston upon Thames","Primary","36","14566","0","0","43","0.3","19","0.13"
"201617","Local authority","Kingston upon Thames","Secondary","11","10025","15","0.15","334","3.33","238","2.37"
"201617","Local authority","Kingston upon Thames","Special","3","309","0","0","3","0.97","3","0.97"
"201617","Local authority","Merton","Total","55","28760","16","0.06","948","3.3","564","1.96"
"201617","Local authority","Merton","Primary","44","19578","x","x","190","0.97","103","0.53"
"201617","Local authority","Merton","Secondary","8","8838","15","0.17","693","7.84","438","4.96"
"201617","Local authority","Merton","Special","3","344","0","0","65","18.9","23","6.69"
"201617","Local authority","Newham","Total","89","59835","45","0.08","2186","3.65","1115","1.86"
"201617","Local authority","Newham","Primary","66","36548","0","0","177","0.48","100","0.27"
"201617","Local authority","Newham","Secondary","21","23144","44","0.19","1696","7.33","963","4.16"
