"year","la_name","school_type","perm_physical_pupils","perm_physical_adult","perm_verbal_pupil","perm_verbal_adult","perm_bullying","perm_racist_abuse","perm_sexual_misconduct","perm_drug_alcohol","perm_damage","perm_theft","perm_persistent_disruptive","perm_other","fixed_physical_pupils","fixed_physical_adult","fixed_verbal_pupil","fixed_verbal_adult","fixed_bullying","fixed_racist_abuse","fixed_sexual_misconduct","fixed_drug_alcohol","fixed_damage","fixed_theft","fixed_persistent_disruptive","fixed_other"
"201617","Hackney","State-funded secondary","3","x","7","0","0","0","x","3","0","0","5","17","288","27","74","166","21","21","6","18","11","32","350","666"
"201617","Hackney","Special","0","0","0","0","0","0","0","0","0","0","0","0","3","x","0","x","0","0","0","0","x","0","0","x"
"201617","Hammersmith and Fulham","Total","3","0","0","0","0","0","x","0","0","0","4","7","178","34","42","82","20","10","3","31","22","34","96","433"
"201617","Hammersmith and Fulham","State-funded primary","0","0","0","0","0","0","x","0","0","0","x","0","34","18","4","8","0","x","x","0","3","x","30","6"
"201617","Hammersmith and Fulham","State-funded secondary","3","0","0","0","0","0","0","0","0","0","x","7","133","12","30","63","19","8","x","31","19","33","62","422"
"201617","Hammersmith and Fulham","Special","0","0","0","0","0","0","0","0","0","0","0","0","11","4","8","11","x","x","0","0","0","0","4","5"
"201617","Islington","Total","8","4","x","x","0","x","0","x","0","0","9","8","274","94","98","173","16","19","3","17","21","20","466","50"
"201617","Islington","State-funded primary","x","x","x","x","0","0","0","0","0","0","5","0","67","74","23","33","x","x","0","0","6","8","77","12"
"201617","Islington","State-funded secondary","7","x","0","0","0","x","0","x","0","0","4","8","198","10","73","139","14","17","3","17","15","12","388","36"
"201617","Islington","Special","0","0","0","0","0","0","0","0","0","0","0","0","9","10","x","x","0","0","0","0","0","0","x","x"
"201617","Kensington and Chelsea","Total","3","x","0","0","0","0","x","0","0","0","5","10","95","26","47","59","9","5","10","22","13","13","75","296"
"201617","Kensington and Chelsea","State-funded primary","0","x","0","0","0","0","0","0","0","0","x","x","13","12","7","4","x","x","0","0","0","x","14","9"
"201617","Kensington and Chelsea","State-funded secondary","3","0","0","0","0","0","x","0","0","0","3","9","82","10","39","55","7","4","10","22","10","12","61","285"
"201617","Kensington and Chelsea","Special","0","0","0","0","0","0","0","0","0","0","0","0","0","4","x","0","0","0","0","0","3","0","0","x"
"201617","Lambeth","Total","4","x","x","x","0","0","0","x","0","0","15","9","252","90","59","138","21","8","12","22","14","25","311","286"
"201617","Lambeth","State-funded primary","0","x","x","x","0","0","0","0","0","0","3","x","67","54","18","38","5","x","x","0","4","x","69","47"
"201617","Lambeth","State-funded secondary","4","0","x","0","0","0","0","x","0","0","12","7","181","27","41","100","15","7","11","22","10","24","237","208"
"201617","Lambeth","Special","0","0","0","0","0","0","0","0","0","0","0","0","4","9","0","0","x","0","0","0","0","0","5","31"
"201617","Lewisham","Total","12","4","4","x","0","0","3","5","0","0","16","18","520","146","109","226","38","21","28","50","34","21","373","266"
"201617","Lewisham","State-funded primary","0","0","0","0","0","0","0","0","0","0","0","0","36","64","9","14","6","3","5","0","12","0","38","45"
"201617","Lewisham","State-funded secondary","12","4","4","x","0","0","x","5","0","0","16","18","449","38","95","197","32","18","23","49","14","21","291","209"
"201617","Lewisham","Special","0","0","0","0","0","0","x","0","0","0","0","0","35","44","5","15","0","0","0","x","8","0","44","12"
"201617","Southwark","Total","4","4","3","x","0","0","x","x","0","0","9","14","360","169","69","144","29","16","19","16","31","43","301","396"
"201617","Southwark","State-funded primary","0","x","0","0","0","0","0","0","0","0","0","0","110","94","14","13","0","0","0","0","10","x","54","70"
"201617","Southwark","State-funded secondary","4","x","3","x","0","0","x","x","0","0","9","14","224","38","53","128","23","16","19","15","19","40","241","323"
"201617","Southwark","Special","0","0","0","0","0","0","0","0","0","0","0","0","26","37","x","3","6","0","0","x","x","x","6","3"
"201617","Tower Hamlets","Total","x","x","0","0","0","0","0","x","0","0","x","x","219","71","47","141","62","16","9","43","37","15","231","175"
"201617","Tower Hamlets","State-funded primary","0","x","0","0","0","0","0","0","0","0","0","0","23","27","x","5","x","4","0","0","3","0","29","6"
"201617","Tower Hamlets","State-funded secondary","x","x","0","0","0","0","0","x","0","0","x","x","189","19","41","126","59","11","7","40","28","14","195","166"
